City,Coordinates
"Wailuku, Maui, Hawaii, United States","20.8905443, -156.503093"
"Karibib, Karibib, Erongo, Namibia","-21.9361693, 15.8528779"
"Calcutta, West Bengal, India","22.5726459, 88.3638953"
"Donna, Hidalgo, Texas, United States","26.1702082, -98.0522376"
"Pompano, Broward, Florida, United States","26.2378597, -80.1247667"
"Brisbane, Queensland, Australia","-27.4689682, 153.0234991"
"Tampa, Hillsborough, Florida, United States","27.9477595, -82.458444"
"Chihuahua, Chihuahua, Chihuahua, Mexico","28.6368669, -106.076745"
"Matachí, Matachí, Chihuahua, Mexico","28.8404028, -107.754051"
"Colonia Juarez, Chihuahua, Mexico","30.3076107, -108.081005"
"Colonia Guadalupe, Chihuahua, Mexico","30.3312918, -107.9350448"
"Jacksonville, Duval, Florida, United States","30.3321838, -81.655651"
"Colonia Dublan, Chihuahua, Mexico","30.4460625, -107.919349"
"Altha, Calhoun, Florida, United States","30.5704721, -85.1271442"
"Alliance, Jackson, Florida, United States","30.6099162, -85.1135339"
"Marianna, Jackson, Florida, United States","30.7743596, -85.2268735"
"Colonia Diaz, Chihuahua, Mexico","31.1050492, -107.9968551"
"Axson, Atkinson, Georgia, United States","31.276705, -82.7237799"
"Douglas, Cochise, Arizona, United States","31.3447174, -109.5545036"
"Lowell, Cochise, Arizona, United States","31.4301511, -109.8936779"
"Bisbee, Cochise, Arizona, United States","31.4417165, -109.9159946"
"Elfrida, Cochise, Arizona, United States","31.6853714, -109.6870138"
"Juárez, Juárez, Chihuahua, Mexico","31.7372575, -106.485655"
"El Paso, El Paso, Texas, United States","31.7601164, -106.4870404"
"Hazlehurst, Jeff Davis, Georgia, United States","31.8696309, -82.5943026"
"Saint David, Cochise, Arizona, United States","31.9042517, -110.2142399"
"Benson, Cochise, Arizona, United States","31.9678611, -110.294517"
"Pomerene, Cochise, Arizona, United States","31.999527, -110.286183"
"Savannah, Chatham, Georgia, United States","32.0790074, -81.0921335"
"San Pedro, Pima, Arizona, United States","32.0834101, -111.4881656"
"Deming, Luna, New Mexico, United States","32.2627416, -107.7581979"
"Binghampton, Pima, Arizona, United States","32.2628728, -110.8726059"
"Empire, Dodge, Georgia, United States","32.3391605, -83.294538"
"Lordsburg, Hidalgo, New Mexico, United States","32.3504143, -108.708434"
"Sunset, Graham, Arizona, United States","32.5239605, -110.2073049"
"Whitewater, Grant, New Mexico, United States","32.5814694, -108.1339305"
"Wellton, Yuma, Arizona, United States","32.6728314, -114.146889"
"Franklin, Greenlee, Arizona, United States","32.6775723, -109.0792285"
"Virden, Hidalgo, New Mexico, United States","32.6870176, -109.002005"
"Duncan, Greenlee, Arizona, United States","32.7151776, -109.100448"
"San Diego, San Diego, California, United States","32.7174202, -117.162772"
"Gilmer, Upshur, Texas, United States","32.728803, -94.9445572"
"Lebanon, Graham, Arizona, United States","32.7453454, -109.7161911"
"Fort Worth, Tarrant, Texas, United States","32.753177, -97.3327459"
"Dallas, Dallas, Texas, United States","32.7762719, -96.7968559"
"Solomon, Graham, Arizona, United States","32.8139559, -109.629582"
"Haifa, Israel","32.8191218, 34.9983856"
"Safford, Graham, Arizona, United States","32.8332442, -109.7131838"
"Thatcher, Graham, Arizona, United States","32.8492323, -109.759247"
"Hubbard, Graham, Arizona, United States","32.8524942, -109.7906836"
"Central, Graham, Arizona, United States","32.8675652, -109.7928591"
"Graham, Graham, Arizona, United States","32.875065, -109.7406365"
"Casa Grande, Pinal, Arizona, United States","32.8772834, -111.7536818"
"Pima, Graham, Arizona, United States","32.8961755, -109.827581"
"Glenbar, Graham, Arizona, United States","32.9167304, -109.8581374"
"Bryce, Graham, Arizona, United States","32.9289524, -109.8278595"
"Eden, Graham, Arizona, United States","32.9611733, -109.8953601"
"Brawley, Imperial, California, United States","32.9786566, -115.530267"
"Ashurst, Graham, Arizona, United States","32.984228, -109.932305"
"Hayden, Gila, Arizona, United States","32.998027, -110.7808568"
"Fort Thomas, Graham, Arizona, United States","33.0370042, -109.9653612"
"Geronimo, Graham, Arizona, United States","33.0770031, -110.0350848"
"Haralson, Coweta, Georgia, United States","33.2265413, -84.5711501"
"Chandler, Maricopa, Arizona, United States","33.3062031, -111.841185"
"Gilbert, Maricopa, Arizona, United States","33.3527632, -111.789037"
"Globe, Gila, Arizona, United States","33.3959139, -110.7871744"
"Miami, Gila, Arizona, United States","33.3995392, -110.8709218"
"Broadway, Maricopa, Arizona, United States","33.4069057, -111.8841462"
"Mesa, Maricopa, Arizona, United States","33.4151005, -111.831455"
"Tempe, Maricopa, Arizona, United States","33.4255117, -111.940016"
"Phoenix, Maricopa, Arizona, United States","33.4484367, -112.074141"
"Lehi, Maricopa, Arizona, United States","33.4590034, -111.8134791"
"Glendale, Maricopa, Arizona, United States","33.5386858, -112.185994"
"Webb, Maricopa, Arizona, United States","33.5525397, -112.367104"
"Lubbock, Lubbock, Texas, United States","33.5855677, -101.8470215"
"Santa Ana, Orange, California, United States","33.7494951, -117.873221"
"Long Beach, Los Angeles, California, United States","33.7690164, -118.191604"
"Luna, Catron, New Mexico, United States","33.8189419, -108.9545153"
"Anaheim, Orange, California, United States","33.8347516, -117.911732"
"Alpine, Apache, Arizona, United States","33.8449987, -109.145002"
"Artesia, Los Angeles, California, United States","33.8690197, -118.0796195"
"Fullerton, Orange, California, United States","33.8708215, -117.929416"
"Home Gardens, Riverside, California, United States","33.8808327, -117.5133522"
"Bellflower, Los Angeles, California, United States","33.8825705, -118.1167679"
"Compton, Los Angeles, California, United States","33.894927, -118.226624"
"El Segundo, Los Angeles, California, United States","33.917028, -118.4156337"
"Cape Town, Western Cape, South Africa","-33.9288301, 18.4172197"
"South Gate, Los Angeles, California, United States","33.9463456, -118.200981"
"Nutrioso, Apache, Arizona, United States","33.953106, -109.2092478"
"Inglewood, Los Angeles, California, United States","33.9562003, -118.353132"
"Firestone Park, Los Angeles, California, United States","33.9630705, -118.232572"
"Walnut Park, Los Angeles, California, United States","33.9668917, -118.2208609"
"Huntington Park, Los Angeles, California, United States","33.9805731, -118.2252073"
