Aberdare, Glamorgan, Wales, United Kingdom
Aberdeen, Bingham, Idaho, United States
Abicel, Union, Oregon, United States
Abraham, Millard, Utah, United States
Acequia, Minidoka, Idaho, United States
Adamsville, Beaver, Utah, United States
Aetna, Cardston County, Alberta, Canada
Afton, Lincoln, Wyoming, United States
Akron, Summit, Ohio, United States
Alameda, Bannock, Idaho, United States
Alamo, Lincoln, Nevada, United States
Alamosa, Alamosa, Colorado, United States
Albion, Cassia, Idaho, United States
Albuquerque, Bernalillo, New Mexico, United States
Alhambra, Los Angeles, California, United States
Alicel, Union, Oregon, United States
Alliance, Jackson, Florida, United States
Allison, McKinley, New Mexico, United States
Alltwen, Glamorgan, Wales, United Kingdom
Alma, Maricopa, Arizona, United States
Almo, Cassia, Idaho, United States
Almy, Uinta, Wyoming, United States
Alpine, Apache, Arizona, United States
Alpine, Utah, Utah, United States
Alta, Teton, Wyoming, United States
Altha, Calhoun, Florida, United States
Alton, Bear Lake, Idaho, United States
Alton, Kane, Utah, United States
Altona, Hamburg, Germany
Altonah, Duchesne, Utah, United States
Amalga, Cache, Utah, United States
American Falls, Power, Idaho, United States
American Fork, Utah, Utah, United States
Amity, Apache, Arizona, United States
Amityville, Long Island, New York, United States
Ammon, Bonneville, Idaho, United States
Amroth, Pembrokeshire, Wales, United Kingdom
Amsterdam, North Holland, Netherlands
Anabelle, Sevier, Utah, United States
Anaheim, Orange, California, United States
Angle, Piute, Utah, United States
Annabella, Sevier, Utah, United States
Annis, Jefferson, Idaho, United States
Antelope, Bonneville, Idaho, United States
Antimony, Garfield, Utah, United States
Antonito, Conejos, Colorado, United States
Arbon, Power, Idaho, United States
Arcadia, Duchesne, Utah, United States
Archer, Madison, Idaho, United States
Arco, Butte, Idaho, United States
Aremark, Viken, Norway
Arimo, Bannock, Idaho, United States
Artesia, Los Angeles, California, United States
Ashton, Fremont, Idaho, United States
Ashurst, Graham, Arizona, United States
Auburn, Lincoln, Wyoming, United States
Auckland, Auckland, New Zealand
Aurora, Sevier, Utah, United States
Austin, Grant, Oregon, United States
Austin, Sevier, Utah, United States
Avon, Cache, Utah, United States
Axson, Atkinson, Georgia, United States
Axtell, Sanpete, Utah, United States
Aztec, San Juan, New Mexico, United States
Baker City, Baker, Oregon, United States
Bakersfield, Kern, California, United States
Baldwin Park, Los Angeles, California, United States
Bancroft, Bannock, Idaho, United States
Banida, Franklin, Idaho, United States
Bannock, Power, Idaho, United States
Bannock, San Bernardino, California, United States
Barclay, Lincoln, Utah, United States
Barnwell, MD of Taber, Alberta, Canada
Basalt, Bingham, Idaho, United States
Basel, Basel-Stadt, Switzerland
Basin, Big Horn, Wyoming, United States
Basin, Cassia, Idaho, United States
Bates, Teton, Idaho, United States
Batesville, Tooele, Utah, United States
Bear Lake, Bear Lake, Idaho, United States
Bear River City, Box Elder, Utah, United States
Beaver Dam, Box Elder, Utah, United States
Beaver, Beaver, Utah, United States
Beazer, Cardston County, Alberta, Canada
Bedford, Lincoln, Wyoming, United States
Bellevue, Blaine, Idaho, United States
Bellflower, Los Angeles, California, United States
Bellingham, Whatcom, Washington, United States
Belvedere, Marin, California, United States
Bench Creek, Wasatch, Utah, United States
Bench, Caribou, Idaho, United States
Bench, Uinta, Wyoming, United States
Bend, Deschutes, Oregon, United States
Benjamin, Utah, Utah, United States
Benmore, Tooele, Utah, United States
Bennett, Uintah, Utah, United States
Bennington, Bear Lake, Idaho, United States
Bennion, Salt Lake, Utah, United States
Benson, Cache, Utah, United States
Benson, Cochise, Arizona, United States
Benton, Fremont, Idaho, United States
Berkeley, Alameda, California, United States
Berlin, Germany
Bern, Bear Lake, Idaho, United States
Beverly Hills, Los Angeles, California, United States
Bicknell, Wayne, Utah, United States
Biggs, Butte, California, United States
Bingham Canyon, Salt Lake, Utah, United States
Binghampton, Pima, Arizona, United States
Birmingham, West Midlands, England, United Kingdom
Bisbee, Cochise, Arizona, United States
Black Pine, Oneida, Idaho, United States
Blackfoot, Bingham, Idaho, United States
Blaine, Davis, Utah, United States
Blanding, San Juan, Utah, United States
Blind Springs, Box Elder, Utah, United States
Bloomfield, San Juan, New Mexico, United States
Bloomington, Bear Lake, Idaho, United States
Bluebell, Duchesne, Utah, United States
Bluewater, Cibola, New Mexico, United States
Bluff, San Juan, Utah, United States
Bluffdale, Salt Lake, Utah, United States
Boise, Ada, Idaho, United States
Boneta, Duchesne, Utah, United States
Borough of Somerdale, Camden, New Jersey, United States
Boston, Suffolk, Massachusetts, United States
Bothwell, Box Elder, Utah, United States
Boulder City, Clark, Nevada, United States
Boulder, Garfield, Utah, United States
Bountiful, Davis, Utah, United States
Box Elder, Box Elder, Utah, United States
Bradford, Yorkshire, England, United Kingdom
Bramwell, Gem, Idaho, United States
Brancrof, Bannock, Idaho, United States
Brant, Vulcan County, Alberta, Canada
Brawley, Imperial, California, United States
Breen, La Plata, Colorado, United States
Breslau, Silesia, Prussia, Germany
Bridger, Uinta, Wyoming, United States
Brigham City, Box Elder, Utah, United States
Brighton, Salt Lake, Utah, United States
Brisbane, Queensland, Australia
Broadway, Maricopa, Arizona, United States
Brooklyn, Kings, New York, United States
Bryan, Bingham, Idaho, United States
Bryce, Graham, Arizona, United States
Buckhorn Springs, Iron, Utah, United States
Buhl, Twin Falls, Idaho, United States
Buist, Oneida, Idaho, United States
Bull Run, Clackamas, Oregon, United States
Bunkerville, Clark, Nevada, United States
Burbank, Los Angeles, California, United States
Burch Creek, Weber, Utah, United States
Burdett, County of Forty Mile No. 8, Alberta, Canada
Burley, Cassia, Idaho, United States
Burlingame, San Mateo, California, United States
Burlington, Big Horn, Wyoming, United States
Burrville, Sevier, Utah, United States
Burton, Madison, Idaho, United States
Busyville, Wasatch, Utah, United States
Butlerville, Salt Lake, Utah, United States
Butte, Silver Bow, Montana, United States
Bybee, Fremont, Idaho, United States
Bynum, Teton, Montana, United States
Byron, Big Horn, Wyoming, United States
Cache Junction, Cache, Utah, United States
Cache, Madison, Idaho, United States
Caineville, Wayne, Utah, United States
Calcutta, West Bengal, India
Calders Station, Salt Lake, Utah, United States
Caldwell, Ada, Idaho, United States
Caldwell, Cardston County, Alberta, Canada
Calgary, Alberta, Canada
Caliente, Lincoln, Nevada, United States
Calls Fort, Box Elder, Utah, United States
Cambridge, Bannock, Idaho, United States
Cane Beds, Mohave, Arizona, United States
Cannonville, Garfield, Utah, United States
Canyon Creek, Madison, Idaho, United States
Cape Town, Western Cape, South Africa
Cardiff, Wales, United Kingdom
Cardston, Cardston County, Alberta, Canada
Carey, Blaine, Idaho, United States
Casa Grande, Pinal, Arizona, United States
Castle Dale, Emery, Utah, United States
Castle Gate, Carbon, Utah, United States
Cavalry Post, Fort San Antonio, Texas, United States
Cedar City, Iron, Utah, United States
Cedar Fort, Utah, Utah, United States
Cedar, Iron, Wyoming, United States
Cedarhill, Oneida, Idaho, United States
Cederview, Duchesne, Utah, United States
Cedron, Teton, Idaho, United States
Center Creek, Wasatch, Utah, United States
Centerfield, Sanpete, Utah, United States
Centerville, Davis, Utah, United States
Central Valley, Sevier, Utah, United States
Central, Bannock, Idaho, United States
Central, Graham, Arizona, United States
Centrolia, Lewis, Washington, United States
Champion, Vulcan County, Alberta, Canada
Chandler, Maricopa, Arizona, United States
Chapin, Fremont, Idaho, United States
Charleston, Forsyth, North Carolina, United States
Charleston, Wasatch, Utah, United States
Charlo, Missoula, Montana, United States
Cheltenham, Gloucestershire, England, United Kingdom
Chemnitz, Saxony, Germany
Cheney, Teton, Wyoming, United States
Cherry Creek, Oneida, Idaho, United States
Chester, Fremont, Idaho, United States
Chester, Sanpete, Utah, United States
Chesterfield, Caribou, Idaho, United States
Chesterfield, Salt Lake, Utah, United States
Chevy Chase, Montgomery, Maryland, United States
Chicago, Cook, Illinois, United States
Chihuahua, Chihuahua, Chihuahua, Mexico
Chino Valley, Yavapai, Arizona, United States
Chino, San Bernardino, California, United States
Chinook, Blaine, Montana, United States
